sequence name	start	stop
around_ts_of_AFL2G_06503	109783	109793
around_ts_of_AFL2G_06639	491147	491137
around_ts_of_AFL2G_06751	788697	788687
around_ts_of_AFL2G_07045	1708874	1708864
around_ts_of_AFL2G_07099_and_AFL2G_07100	1888751	1888741
around_ts_of_AFL2G_07235_and_AFL2G_07236	2264988	2264978
around_ts_of_AFL2G_06775	869738	869748
around_ts_of_AFL2G_06520	174684	174674
around_ts_of_AFL2G_06663	564928	564918
around_ts_of_AFL2G_06742	766621	766611
around_ts_of_AFL2G_06769_and_AFL2G_06770	850715	850725
around_ts_of_AFL2G_06834	1053876	1053866
